Timestamp,Queen's Email?,First & Last Name,Pronouns,Do you identify as a member of the BIPOC community?,Do you identify as a member of the LGBTQIA2S+ community?,Faculty,"Project Major? (If you thinking of doing a medial, please choose which of the 2 programs you would prefer to be potentially matched on the basis of)",Major (not listed above),"Projected Minor (if you are thinking of doing a medial, please list the second program not indicated in the previous question)",Minor (not listed above),What are you interested in? Select all options that apply. [Rank 1],What are you interested in? Select all options that apply. [Rank 2],What are you interested in? Select all options that apply. [Rank 3],What are you interested in? Select all options that apply. [Rank 4],What are you interested in? Select all options that apply. [Rank 5],Feel free to state any other interests we may have missed!,Rank the importance of each column of matching criteria: (NOTE: view above for ranking explanation) [Rank #1],Rank the importance of each column of matching criteria: (NOTE: view above for ranking explanation) [Rank #2],Rank the importance of each column of matching criteria: (NOTE: view above for ranking explanation) [Rank #3],Rank the importance of each column of matching criteria: (NOTE: view above for ranking explanation) [Rank #4],Rank the importance of each column of matching criteria: (NOTE: view above for ranking explanation) [Rank #5],Are you in Kingston for the fall semester?,Are you interested in meeting your mentor in person?,Are you interested in participating in In-Person AMP events?,"This is a space to input any questions, concerns, or additional details:"
8/28/2021 17:08:23,one@queensu.ca,k. k,She/her,No,No,Science,Biology,,Political Studies,,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,,,,Interests,Faculty,Gender,,,No,No,No,
8/28/2021 17:09:11,two@queensu.ca,L. L,She/her,No,No,Arts,Drama,,Film & Media,,"Art (Visual Arts, Music, Theatre, etc.)",Social Issues and Advocacy,Academics,Sports/Health,,,Interests,Faculty,,,,Yes,Yes,Yes,
8/28/2021 17:10:07,three@queensu.ca,m. m,He/him,Yes,No,Kinesiology,Kinesiology & Health Studies,,N/A,,Sports/Health,Social Issues and Advocacy,Religious and Cultural Identity,,,,Interests,BIPOC Community,Faculty,Gender,,Yes,Yes,Yes,
8/28/2021 17:11:05,four@queensu.ca,n. n,He/him,No,Yes,Arts,English Language & Literature,,N/A,,Academics,Social Issues and Advocacy,Politics and Debate,,,,Interests,Faculty,Gender,LGBTQIA2+ Community,,No,No,Unsure,
8/28/2021 17:12:07,five@queensu.ca,o. o,She/her,No,No,Science,Life Sciences,,N/A,,Academics,Social Issues and Advocacy,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",,,Interests,Faculty,Gender,,,Yes,Yes,Yes,
8/28/2021 17:13:12,six@queensu.ca,p. p ,He/him,Yes,No,Arts,Geography & Planning,,N/A,,Social Issues and Advocacy,Religious and Cultural Identity,Academics,,,,Interests,Faculty,Gender,,,Yes,Yes,Yes,
8/28/2021 17:13:59,seven@queensu.ca,q. q,He/him,No,No,Arts,Cultural Studies,,Drama,,Academics,Social Issues and Advocacy,Sports/Health,,,,Gender,Interests,Faculty,,,Yes,Yes,Yes,
8/28/2021 17:15:03,eight@queensu.ca,r. r,He/him,No,Yes,Arts,Classics,,N/A,,Social Issues and Advocacy,Religious and Cultural Identity,Sports/Health,Academics,"Art (Visual Arts, Music, Theatre, etc.)",,LGBTQIA2+ Community,Interests,Faculty,Gender,,Yes,Unsure,Unsure,
8/28/2021 17:16:13,nine@queensu.ca,s. s,They/them,Yes,Yes,Kinesiology,Kinesiology & Health Studies,,N/A,,Academics,Social Issues and Advocacy,Sports/Health,Religious and Cultural Identity,"Art (Visual Arts, Music, Theatre, etc.)",,Interests,Faculty,,,,Yes,Yes,Yes,
8/28/2021 17:17:58,ten@queensu.ca,t. t,She/her,No,No,Con-Ed Science,Chemistry,,N/A,,Academics,Social Issues and Advocacy,Religious and Cultural Identity,,,,Interests,Faculty,Gender,,,Yes,Yes,Yes,
8/30/2021 12:45:01,1,1,She/her,Yes,No,Science,Chemistry,,N/A,,Academics,Politics and Debate,Sports/Health,,,,Gender,BIPOC Community,Interests,Faculty,,Yes,Yes,Yes,
8/30/2021 12:45:51,2,2,They/them,No,Yes,Arts,Political Studies,,French Studies,,Politics and Debate,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,,,LGBTQIA2+ Community,Interests,Faculty,Gender,,Yes,Yes,Yes,
8/30/2021 12:46:27,3,3,He/him,No,No,Comp-Sci,Computing,,N/A,,Sports/Health,Academics,,,,,Gender,,,,,No,No,No,
8/30/2021 12:47:13,4,4,She/her,No,Yes,Arts,History,,English Language & Literature,,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Social Issues and Advocacy,,,,Gender,Faculty,Interests,,,Yes,Unsure,Unsure,
8/30/2021 12:47:58,5,5,She/her,No,No,Science,Life Sciences,,Drama,,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Sports/Health,Social Issues and Advocacy,,,Gender,Interests,Faculty,,,Yes,Yes,Yes,
