email,full_name,pronouns,faculty,interest1,interest2,interest3,interest4,interest5,imp1,imp2,imp3,imp4,imp5,position,faculty ,status,matched_interest,matched_imp
one@queensu.ca,k. k,She/her,,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,,,Interests,Faculty,Gender,,,mentee,Science,1,,"Gender, Gender"
d,d,She/her,Arts,Academics,Politics and Debate,,"Art (Visual Arts, Music, Theatre, etc.)",,Gender,Interests,,,,mentor,,1,,"Gender, Gender"
two@queensu.ca,L. L,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Social Issues and Advocacy,Academics,Sports/Health,,Interests,Faculty,,,,mentee,Arts,1,"Academics, Academics","Interests, Interests"
e,e,He/him,Science,Academics,Politics and Debate,Social Issues and Advocacy,,,Gender,BIPOC Community,Interests,,,mentor,,1,"Academics, Academics","Interests, Interests"
three@queensu.ca,m. m,He/him,,Sports/Health,Social Issues and Advocacy,Religious and Cultural Identity,,,Interests,BIPOC Community,Faculty,Gender,,mentee,Kinesiology,1,,"Gender, Gender"
3,3,He/him,Con-Ed Arts,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Sports/Health,Social Issues and Advocacy,Gender,Faculty,Interests,,,mentor,,1,,"Gender, Gender"
four@queensu.ca,n. n,He/him,,Academics,Social Issues and Advocacy,Politics and Debate,,,Interests,Faculty,Gender,LGBTQIA2+ Community,,mentee,Arts,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
4,4,They/them,Science,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,Politics and Debate,Academics,Interests,Faculty,LGBTQIA2+ Community,,,mentor,,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
five@queensu.ca,o. o,She/her,,Academics,Social Issues and Advocacy,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",,Interests,Faculty,Gender,,,mentee,Science,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
5,5,He/him,Con-Ed Science,Politics and Debate,Social Issues and Advocacy,Religious and Cultural Identity,Academics,,Gender,BIPOC Community,LGBTQIA2+ Community,Faculty,Interests,mentor,,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
six@queensu.ca,p. p ,He/him,,Social Issues and Advocacy,Religious and Cultural Identity,Academics,,,Interests,Faculty,Gender,,,mentee,Arts,1,,"Gender, Gender"
6,6,He/him,Kinesiology,"Art (Visual Arts, Music, Theatre, etc.)",Social Issues and Advocacy,,,,Gender,,,,,mentor,,1,,"Gender, Gender"
seven@queensu.ca,q. q,He/him,,Academics,Social Issues and Advocacy,Sports/Health,,,Gender,Interests,Faculty,,,mentee,Arts,1,"Sports/Health, Sports/Health","Interests, Interests"
7,7,They/them,CompSci,Sports/Health,Social Issues and Advocacy,Religious and Cultural Identity,,,Gender,Interests,,,,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
eight@queensu.ca,r. r,He/him,,Social Issues and Advocacy,Religious and Cultural Identity,Sports/Health,Academics,"Art (Visual Arts, Music, Theatre, etc.)",LGBTQIA2+ Community,Interests,Faculty,Gender,,mentee,Arts,1,,"Gender, Gender"
8,8,He/him,Science,Academics,Sports/Health,Politics and Debate,,,BIPOC Community,Gender,Interests,,,mentor,,1,,"Gender, Gender"
nine@queensu.ca,s. s,They/them,,Academics,Social Issues and Advocacy,Sports/Health,Religious and Cultural Identity,"Art (Visual Arts, Music, Theatre, etc.)",Interests,Faculty,,,,mentee,Kinesiology,1,"Academics, Academics","Interests, Interests"
9,9,She/her,Con-Ed Arts,Academics,Social Issues and Advocacy,Politics and Debate,,,Gender,Faculty,Interests,,,mentor,,1,"Academics, Academics","Interests, Interests"
1,1,She/her,,Academics,Politics and Debate,Sports/Health,,,Gender,BIPOC Community,Interests,Faculty,,mentee,Science,1,,"BIPOC Community, BIPOC Community"
10,10,Do not want to share,CompSci,Sports/Health,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",,,Gender,BIPOC Community,LGBTQIA2+ Community,,,mentor,,1,,"BIPOC Community, BIPOC Community"
ten@queensu.ca,t. t,She/her,,Academics,Social Issues and Advocacy,Religious and Cultural Identity,,,Interests,Faculty,Gender,,,mentee,Con-Ed Science,1,"Academics, Academics","Interests, Interests"
1@queensu.ca,a. a,She/her,Science,Academics,Sports/Health,Religious and Cultural Identity,Social Issues and Advocacy,,Interests,Faculty,,,,mentor,,1,"Academics, Academics","Interests, Interests"
2,2,They/them,,Politics and Debate,Social Issues and Advocacy,"Art (Visual Arts, Music, Theatre, etc.)",Religious and Cultural Identity,,LGBTQIA2+ Community,Interests,Faculty,Gender,,mentee,Arts,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
2@queensu.ca,b. b,He/him,CompSci,Social Issues and Advocacy,Academics,Politics and Debate,,,Interests,Gender,Faculty,,,mentor,,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
5,5,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Sports/Health,Social Issues and Advocacy,,Gender,Interests,Faculty,,,mentee,Science,1,"Sports/Health, Sports/Health","Interests, Interests"
3@queensu.ca,c. c,They/them,Kinesiology,Sports/Health,Academics,,,,Interests,Faculty,LGBTQIA2+ Community,,,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
4,4,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Social Issues and Advocacy,,,Gender,Faculty,Interests,,,mentee,Arts,1,"Art (Visual Arts, Music, Theatre, etc.), Art (Visual Arts, Music, Theatre, etc.)","Interests, Interests"
4@queensu.ca,d. d,She/her,Arts,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Religious and Cultural Identity,Social Issues and Advocacy,,Interests,Gender,Faculty,,,mentor,,1,"Art (Visual Arts, Music, Theatre, etc.), Art (Visual Arts, Music, Theatre, etc.)","Interests, Interests"
3,3,He/him,,Sports/Health,Academics,,,,Gender,,,,,mentee,Comp-Sci,1,,"Gender, Gender"
5@queensu.ca,e. e,He/him,Arts,Religious and Cultural Identity,Social Issues and Advocacy,Academics,Politics and Debate,,Interests,BIPOC Community,Faculty,Gender,,mentor,,1,,"Gender, Gender"
6,6,He/him,,Sports/Health,Social Issues and Advocacy,Politics and Debate,"Art (Visual Arts, Music, Theatre, etc.)",,BIPOC Community,Interests,Faculty,Gender,,mentee,Kinesiology,1,"Sports/Health, Sports/Health","Interests, Interests"
6@queensu.ca,f. f,She/her,Con-Ed Science,Academics,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",,,Interests,Faculty,Gender,,,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
7,7,They/them,,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Religious and Cultural Identity,,,Interests,Faculty,Gender,,,mentee,Con-Ed Arts,1,"Academics, Academics","Interests, Interests"
7@queensu.ca,g. g,She/her,Science,Academics,Sports/Health,Social Issues and Advocacy,,,Interests,Faculty,,,,mentor,,1,"Academics, Academics","Interests, Interests"
8,8,He/him,,Sports/Health,Academics,Social Issues and Advocacy,Politics and Debate,,Faculty,Gender,Interests,LGBTQIA2+ Community,,mentee,Science,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
8@queensu.ca,h. h,They/them,Science,Academics,Sports/Health,Politics and Debate,,,Faculty,LGBTQIA2+ Community,Interests,,,mentor,,1,,"LGBTQIA2+ Community, LGBTQIA2+ Community"
9,9,She/her,,Social Issues and Advocacy,Politics and Debate,Sports/Health,Academics,,Interests,Gender,,,,mentee,Science,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
9@queensu.ca,i. i,He/him,Science,Academics,Religious and Cultural Identity,Social Issues and Advocacy,,,Faculty,Interests,BIPOC Community,Gender,,mentor,,1,"Social Issues and Advocacy, Social Issues and Advocacy","Interests, Interests"
lay1,lay1,Do not want to share,,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Sports/Health,Religious and Cultural Identity,Gender,Faculty,LGBTQIA2+ Community,Interests,BIPOC Community,mentee,Science,1,"Art (Visual Arts, Music, Theatre, etc.), Art (Visual Arts, Music, Theatre, etc.)","Interests, Interests"
10@queensu.ca,j. j,She/her,Arts,Sports/Health,"Art (Visual Arts, Music, Theatre, etc.)",Academics,,,Interests,Faculty,Gender,,,mentor,,1,"Art (Visual Arts, Music, Theatre, etc.), Art (Visual Arts, Music, Theatre, etc.)","Interests, Interests"
k8,K8 ROARabeck,She/her,,Academics,Politics and Debate,"Art (Visual Arts, Music, Theatre, etc.)",Sports/Health,Social Issues and Advocacy,Interests,Gender,Faculty,LGBTQIA2+ Community,BIPOC Community,mentee,Science,1,,"BIPOC Community, BIPOC Community"
hey1,hey1,She/her,Arts,Social Issues and Advocacy,Religious and Cultural Identity,"Art (Visual Arts, Music, Theatre, etc.)",,,BIPOC Community,LGBTQIA2+ Community,Interests,Faculty,Gender,mentor,,1,,"BIPOC Community, BIPOC Community"
lay3,lay3,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Academics,Social Issues and Advocacy,,,BIPOC Community,Interests,,,,mentee,Con-Ed Science,1,"Academics, Academics","Interests, Interests"
hey2,hey2,He/him,Science,Academics,Sports/Health,,,,Faculty,Interests,,,,mentor,,1,"Academics, Academics","Interests, Interests"
k8 2,K8 r,Do not want to share,,Sports/Health,Academics,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Social Issues and Advocacy,Interests,,,,,mentee,Kinesiology,1,"Sports/Health, Sports/Health","Interests, Interests"
k8,k8 rors 1,She/her,Science,Sports/Health,Social Issues and Advocacy,Academics,,,Interests,,,,,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
k8 3,k8 rors,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Politics and Debate,Sports/Health,Religious and Cultural Identity,Social Issues and Advocacy,BIPOC Community,LGBTQIA2+ Community,Faculty,Interests,Gender,mentee,Con-Ed Arts,1,,"Gender, Gender"
k8,k8 rors 2,She/her,Con-Ed Arts,Sports/Health,Social Issues and Advocacy,Religious and Cultural Identity,Academics,Politics and Debate,Gender,,,,,mentor,,1,,"Gender, Gender"
lay4,lay4,They/them,,Academics,Sports/Health,Politics and Debate,,,Faculty,Interests,,,,mentee,Science,1,"Sports/Health, Sports/Health","Interests, Interests"
hey3,hey3,They/them,Con-Ed Science,Sports/Health,Politics and Debate,Social Issues and Advocacy,Academics,Religious and Cultural Identity,Faculty,Interests,,,,mentor,,1,"Sports/Health, Sports/Health","Interests, Interests"
lay5,lay5,She/her,,"Art (Visual Arts, Music, Theatre, etc.)",Social Issues and Advocacy,Academics,,,LGBTQIA2+ Community,Interests,Faculty,,,mentee,Arts,1,"Academics, Academics","Interests, Interests"
